2010 Federal Election Senate Votes By Division [Please Note: These results are not final. Event:15508 Phase:PostElection Generated:2010-09-07T11:14:14 Cycle:86a481a5-f7f2-4108-ab93-af03f1922bff Created:2010-09-07T11:04:26 Environment:PROD Site:FDC Server:DB01 Version:6.0.9.8314]
DivisionID,DivisionNm,StateAb,Enrolment,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,TotalPercentage
146,Robertson,NSW,96593,77822,5001,409,2324,2992,88548,91.67
177,Ryan,QLD,98224,75185,3861,0,2381,3943,85370,86.91
232,Scullin,VIC,90822,72146,3873,0,1872,4804,82695,91.05
148,Shortland,NSW,94245,76708,3514,489,1966,5342,88019,93.39
307,Solomon,NT,59879,47738,807,263,2831,2022,53661,89.62
246,Stirling,WA,91728,69842,6975,678,3009,5196,85700,93.43
190,Sturt,SA,99061,76782,5636,0,608,5721,88747,89.59
247,Swan,WA,90766,68655,5708,385,3043,4985,82776,91.2
149,Sydney,NSW,95277,64763,0,0,0,0,64763,67.97
248,Tangney,WA,92176,72700,5971,357,4258,3929,87215,94.62
150,Throsby,NSW,95874,80673,3807,0,1441,2464,88385,92.19
191,Wakefield,SA,100209,79876,6068,779,1720,5891,94334,94.14
233,Wannon,VIC,92264,76278,3407,136,3587,5523,88931,96.39
151,Warringah,NSW,96706,66295,5364,0,3906,2399,77964,80.62
251,Watson,NSW,97765,74771,5044,439,2951,3340,86545,88.52
152,Wentworth,NSW,101464,72541,0,0,0,0,72541,71.49
153,Werriwa,NSW,90994,70295,1955,0,0,1427,73677,80.97
178,Wide Bay,QLD,92636,72490,4802,331,2946,5819,86388,93.26
234,Wills,VIC,98599,74438,5166,500,3567,5436,89107,90.37
316,Wright,QLD,85304,62651,4259,444,3856,6164,77374,90.7
