2010 Federal Election House of Representatives Two Candidate Preferred By Candidate By Polling Place [Please Note: These results are not final. Event:15508 Phase:PostElection Generated:2010-08-25T06:44:06 Cycle:3cc2cbf8-c873-4707-900e-3ed984b180a0 Created:2010-08-25T06:32:21 Environment:PROD Site:CDC Server:DB01 Version:6.0.9.8314]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
ACT,102,Fraser,8838,Weetangera,20858,MILLIGAN,James Keith,1,N,N,LP,Liberal,819,0.82
ACT,102,Fraser,8838,Weetangera,21210,LEIGH,Andrew,3,N,N,ALP,Australian Labor Party,1453,-0.82
ACT,102,Fraser,8839,Wreck Bay,20858,MILLIGAN,James Keith,1,N,N,LP,Liberal,9,9.07
ACT,102,Fraser,8839,Wreck Bay,21210,LEIGH,Andrew,3,N,N,ALP,Australian Labor Party,59,-9.07
NSW,103,Banks,31,Allawah,21087,MELHAM,Daryl,3,N,Y,ALP,Labor,756,-16.55
NSW,103,Banks,31,Allawah,21561,DELEZIO,Ron,4,N,N,LP,Liberal,672,16.55
NSW,103,Banks,67,Allawah South,21087,MELHAM,Daryl,3,N,Y,ALP,Labor,593,-11.65
NSW,103,Banks,67,Allawah South,21561,DELEZIO,Ron,4,N,N,LP,Liberal,510,11.65
NSW,103,Banks,56500,Beverly Hills North (Banks),21087,MELHAM,Daryl,3,N,Y,ALP,Labor,264,-4.14
NSW,103,Banks,56500,Beverly Hills North (Banks),21561,DELEZIO,Ron,4,N,N,LP,Liberal,178,4.14
NSW,103,Banks,2646,Beverly Hills South,21087,MELHAM,Daryl,3,N,Y,ALP,Labor,779,-11.72
NSW,103,Banks,2646,Beverly Hills South,21561,DELEZIO,Ron,4,N,N,LP,Liberal,610,11.72
NSW,103,Banks,36,Blakehurst,21087,MELHAM,Daryl,3,N,Y,ALP,Labor,233,-10.18
NSW,103,Banks,36,Blakehurst,21561,DELEZIO,Ron,4,N,N,LP,Liberal,431,10.18
NSW,103,Banks,46,Blakehurst North,21087,MELHAM,Daryl,3,N,Y,ALP,Labor,407,-6.02
NSW,103,Banks,46,Blakehurst North,21561,DELEZIO,Ron,4,N,N,LP,Liberal,397,6.02
NSW,103,Banks,33,Blakehurst South,21087,MELHAM,Daryl,3,N,Y,ALP,Labor,394,-6.07
NSW,103,Banks,33,Blakehurst South,21561,DELEZIO,Ron,4,N,N,LP,Liberal,1026,6.07
NSW,103,Banks,56472,Carlton South (Banks),21087,MELHAM,Daryl,3,N,Y,ALP,Labor,249,-6.71
NSW,103,Banks,56472,Carlton South (Banks),21561,DELEZIO,Ron,4,N,N,LP,Liberal,160,6.71
NSW,103,Banks,65,Carlton West (Banks),21087,MELHAM,Daryl,3,N,Y,ALP,Labor,719,-10.27
NSW,103,Banks,65,Carlton West (Banks),21561,DELEZIO,Ron,4,N,N,LP,Liberal,647,10.27
NSW,103,Banks,42,Connells Point,21087,MELHAM,Daryl,3,N,Y,ALP,Labor,809,-10.16
NSW,103,Banks,42,Connells Point,21561,DELEZIO,Ron,4,N,N,LP,Liberal,1756,10.16
NSW,103,Banks,30094,Divisional Office (PREPOLL),21087,MELHAM,Daryl,3,N,Y,ALP,Labor,0,-36.31
NSW,103,Banks,30094,Divisional Office (PREPOLL),21561,DELEZIO,Ron,4,N,N,LP,Liberal,0,-63.69
NSW,103,Banks,2663,Hurstville,21087,MELHAM,Daryl,3,N,Y,ALP,Labor,1208,-17.69
NSW,103,Banks,2663,Hurstville,21561,DELEZIO,Ron,4,N,N,LP,Liberal,955,17.69
NSW,103,Banks,44,Hurstville Central,21087,MELHAM,Daryl,3,N,Y,ALP,Labor,68,-11.34
NSW,103,Banks,44,Hurstville Central,21561,DELEZIO,Ron,4,N,N,LP,Liberal,78,11.34
NSW,103,Banks,2664,Hurstville East,21087,MELHAM,Daryl,3,N,Y,ALP,Labor,1087,-14.06
NSW,103,Banks,2664,Hurstville East,21561,DELEZIO,Ron,4,N,N,LP,Liberal,888,14.06
NSW,103,Banks,45,Hurstville Grove,21087,MELHAM,Daryl,3,N,Y,ALP,Labor,1021,-11.47
NSW,103,Banks,45,Hurstville Grove,21561,DELEZIO,Ron,4,N,N,LP,Liberal,1312,11.47
NSW,103,Banks,2665,Hurstville North,21087,MELHAM,Daryl,3,N,Y,ALP,Labor,1076,-15
NSW,103,Banks,2665,Hurstville North,21561,DELEZIO,Ron,4,N,N,LP,Liberal,959,15
NSW,103,Banks,34046,Hurstville PPVC,21087,MELHAM,Daryl,3,N,Y,ALP,Labor,2098,14.47
NSW,103,Banks,34046,Hurstville PPVC,21561,DELEZIO,Ron,4,N,N,LP,Liberal,2030,-14.47
NSW,103,Banks,4,Lugarno,21087,MELHAM,Daryl,3,N,Y,ALP,Labor,1049,-4.65
NSW,103,Banks,4,Lugarno,21561,DELEZIO,Ron,4,N,N,LP,Liberal,1852,4.65
NSW,103,Banks,55,Mortdale Central,21087,MELHAM,Daryl,3,N,Y,ALP,Labor,995,-5.87
NSW,103,Banks,55,Mortdale Central,21561,DELEZIO,Ron,4,N,N,LP,Liberal,761,5.87
NSW,103,Banks,56,Mortdale East,21087,MELHAM,Daryl,3,N,Y,ALP,Labor,808,-6.56
NSW,103,Banks,56,Mortdale East,21561,DELEZIO,Ron,4,N,N,LP,Liberal,661,6.56
NSW,103,Banks,57,Mortdale Heights,21087,MELHAM,Daryl,3,N,Y,ALP,Labor,527,-3.47
